global_step_index,activity,step_index,variation,variation_index,headline,paragraph
2271,Clean Chicken Gizzards,10,none,11,Use your fingers to find any extra sediment.,"As you hold the gizzard under water, it might be helpful to use your fingers to rub against the flesh of the interior to loosen any stubborn debris. Keep gently scrubbing until you feel that everything is smooth.Be aware that the inside of a gizzard can appear to be brown or black due to the presence of sediment. This is a natural and not a cause for a concern if the gizzard is properly rinsed. The debris can sometimes be rather larger and include pieces of rock and grass."
2272,Clean Chicken Gizzards,11,none,12,Trim the lining away.,"When the interior of the gizzard is clean, you will see a yellow-tinted lining in the inside. Remove the lining by peeling it away from the rest of the gizzard’s flesh. It should come off fairly easily, but you may need to make a slight cut at the side of the gizzard to start the separation process.The lining can be differentiated from the edible flesh because it will feel rubbery in texture."
2273,Clean Chicken Gizzards,12,none,13,Dry the gizzards.,"When the lining has been removed and discarded, rinse the gizzards again with water. Then, place them on a fresh cutting board, patting them dry with paper towels. Keep going until there is very little moisture visible on the skin of the gizzard."
2274,Clean Chicken Gizzards,13,none,14,Store them in a sealed container.,Place the cleaned gizzards in a container until you are ready to cook them. Make sure that the container is tightly sealed and is clean on the inside to avoid cross-contamination.
2275,Clean Chicken Gizzards,14,none,15,"Wash all utensils, the workspace, and your hands.","Go through and wash all of your knives and cutting boards under warm water and soap or place them in the dishwasher under the sanitize function. When everything else is clean and wiped down, go ahead and do a final hand wash.Don’t forget to wipe down the counter space with a cleaner."
2276,Clean Chicken Gizzards,15,none,16,Cook the gizzards.,"You can prepare gizzards in a variety of ways, including boiling, baking, frying, or simmering. Experiment with different methods until you find one that you prefer. Many people place the gizzards in brine for at least a few hours before cooking in order to improve the texture. Look for a great brine recipe online and then adapt it to suit your personal tastes."
2279,Bake a Butterball Coffee Cake,1,none,2,Spray a 9-inch round cake pan with nonstick cooking spray.,
2280,Bake a Butterball Coffee Cake,2,none,3,Melt butter and pour into a shallow bowl.,
2281,Bake a Butterball Coffee Cake,3,none,4,Combine sugar and cinnamon in a shallow bowl.,
2283,Bake a Butterball Coffee Cake,5,none,6,Arrange 15 cinnamon-sugar coated biscuits in a circle around the cake pan.,
2285,Bake a Butterball Coffee Cake,7,none,8,"Bake the coffee cake until golden, about 25 to 30 minutes.",
2287,Cajun Deep Fry a Turkey,0,none,1,"Purchase all necessary ingredients, temperature gauges and timers, noting that some fryers specially designed to fry turkeys come with these included.","In addition to turkey (appropriately sized according to your dinner plans), you will need Cajun marinade or ingredients to make your own, a chef's syringe to inject the flavoring, peanut oil and any additional seasonings according to personal tastes. Pre-mixed marinades, complete with injectors can be purchased from grocery and specialty stores. To make your own, consult the Web for recipes or be adventurous and try experimenting with your own flavors.;"
2288,Cajun Deep Fry a Turkey,1,none,2,Prepare your turkey by allowing it to thaw and injecting the marinade and other seasonings.,Do not stuff a turkey you plan to Cajun deep fry.
2289,Cajun Deep Fry a Turkey,2,none,3,"Test the equipment such as your fryer, basket or pan and ensure that your turkey(s) fit and can be submerged in oil.",
2290,Cajun Deep Fry a Turkey,3,none,4,Heat the oil to 350 to 365 degrees Fahrenheit (176.6 to 185 degrees Celsius).,It can take up to an hour for the peanut oil in the turkey fryer to heat to the appropriate temperature.
2291,Cajun Deep Fry a Turkey,4,none,5,Submerge your prepared turkey neck-down in the peanut oil and allow to deep fry for 4 minutes per pound.,
2292,Cajun Deep Fry a Turkey,5,none,6,Refrain from covering the pot with the turkey and constantly observe the fryer to ensure that hot oil does not overflow and the turkey does not burn.,
2293,Cajun Deep Fry a Turkey,6,none,7,"Remove from oil using oven mitts or gloves and check internal temperature, which should be 170 degrees Fahrenheit (76.6 degrees Celsius) at the breast area.",
2294,Cajun Deep Fry a Turkey,7,none,8,Allow the turkey to drain off excess oil.,
2295,Cajun Deep Fry a Turkey,8,none,9,Wrap the Cajun deep fried turkey immediately in aluminum foil to prevent drying out and let it stand for up to 30 minutes prior to carving.,
2296,Cajun Deep Fry a Turkey,9,none,10,Finished.,
2297,"Brine, Truss, and Roast a Turkey",0,none,1,Ensure that you have an ample oven.,"Turkeys are large birds-usually between 12 and 22 pounds. You should have an oven that allows hot air to circulate the bird at all angles. Be sure your bird has at least 6 inches (15.2 cm) of clear space from skin to oven wall so that it will cook evenly. If your oven is small, try using a breast of turkey or a whole chicken instead.;"
2298,"Brine, Truss, and Roast a Turkey",1,none,2,Get a roasting pan.,"Any roasting pan will do, as long as it's large enough to allow 1 to 2 inches (2.5 to 5.1 cm) of space between the pan edge and the turkey, and the bird is suspended above the bottom of the pan. Use a roasting rack, and if you don't have one, improvise. Create a crosshatch of carrots and celery. If you do this, though, it may be trickier to flip the bird during the cooking process."
2299,"Brine, Truss, and Roast a Turkey",2,none,3,Brine the bird.,"Brining involves soaking the turkey in a salt water bath. It makes crispier skin and more flavorful meat.   Put cold water in a large container. 2 gallons (7.6 L) is sufficient for most birds, but if your bird is bigger than 18 pounds, you may need more. Add 1 cup of salt per gallon to the container. The size of your turkey doesn't influence the amount of salt used. PLEASE NOTE: unless you want a really salty bird, do not brine a kosher or self-basting turkey. They already contain a lot of sodium. Dunk your turkey into the brine solution and put the container in the refrigerator. Allow the bird to soak in the brine for 4 to 6 hours. The bigger the bird, the longer it should soak. Remove the bird from the brine and rinse it well under cold water. Pat dry with paper towels."
2300,"Brine, Truss, and Roast a Turkey",3,none,4,Truss (or tie up) your bird.,"If you are going to stuff your turkey, do it just before you truss it. If you would rather cook the stuffing separately, try stuffing the cavity loosely with garlic cloves, fresh thyme, carrots, and celery, after salting and peppering it thoroughly. Tuck the tips of the drumsticks into the skin at the tail to secure and tuck the wing tips behind the back. Thread cotton twine through the eye of a trussing needle and sew up the cavity with a few stitches. Only a few-any more and you run the risk of your bird cooking unevenly."
2301,"Brine, Truss, and Roast a Turkey",4,none,5,Roast your bird.,"Adjust the oven rack to the lowest position and preheat the oven to 400 °F (204 °C), or 425 degrees for a turkey larger than 18 pounds. Melt 1/4 cup butter in a saucepan, then brush the butter to cover the surface of the turkey. Grind a lot of cracked black pepper over the bird. Put the turkey breast side down on the roasting rack and roast for 45 to 60 minutes, depending on the size of the bird. Remove the pan from the oven and reduce the temperature to 325 °F (163 °C). Use clean potholders or kitchen towels to rotate the turkey breast side up and baste the entire surface with pan drippings. Continue to roast, basting every 20 minutes, until the thickest part of the breast registers 165 °F (74 °C) and the thickest part of the thigh registers 170 to 175 °F (77 to 79 °C) on an instant-read thermometer. (About 50 minutes to 2 hours longer)."
2302,"Brine, Truss, and Roast a Turkey",5,none,6,"Transfer turkey to a carving board, let rest for 30 to 40 minutes, and carve, serve, and eat your turkey.",
2303,Cook Bacon in the Toaster Oven,0,none,1,Line a baking sheet with aluminum foil.,"To start, take out a baking sheet that will fit in your toaster oven. Line the baking sheet with aluminum foil. This will make clean up easier afterwards, as you can simply remove the foil and discard it.If you don't have aluminum foil, you can use parchment paper instead.;"
2304,Cook Bacon in the Toaster Oven,1,none,2,Place the bacon flat on the baking sheet.,Keep the bacon separated. It should not be touching or overlapping. Lie the bacon flat on the bacon sheet so it cooks completely.Make sure to wash your hands thoroughly after handling raw bacon.
2305,Cook Bacon in the Toaster Oven,2,none,3,Place a sheet pan under the wire tray in your toaster oven.,"You should find a sheet pan that fits on the bottom of your toaster oven. If any bacon drips during the cooking process, a sheet pan will catch this. It is easier to remove the pan and clean it than clean the bottom of a toaster oven."
2306,Cook Bacon in the Toaster Oven,3,none,4,"Set the toaster oven to 400 degrees Fahrenheit (205 degrees Celsius).If you're not sure how to set the temperature on your toaster oven, refer to the instructions manual.","Allow the toaster oven to heat completely before adding your bacon. Usually, a light goes on or off to indicate the oven is done heating."
2307,Cook Bacon in the Toaster Oven,4,none,5,Cook the bacon for 10 to 15 minutes.,"Keep an eye on the bacon while it cooks. It usually takes between 10 to 15 minutes, but thinner bacon may cook quicker. Bacon will curl and crisp slightly just before it's done.For crispier bacon, cook your bacon longer."
2308,Cook Bacon in the Toaster Oven,5,none,6,Remove the bacon from the oven.,"After your bacon is cooked to your desired crispness, remove it from the toaster oven. Place some paper towels on a plate. Remove your bacon with a spatula and transfer it to the paper towels. These will remove any excess grease. Allow the bacon to cool for a few minutes before eating."
2310,Cook Bacon in the Toaster Oven,7,none,8,Cook the bacon in the microwave for 20 to 30 seconds.,"Bacon thaws easily in the microwave. Once you're ready to eat your leftover bacon, put it on a microwave safe plate. Heat it up for 20 to 30 seconds."
2311,Cook Bacon in the Toaster Oven,8,none,9,Season the bacon with salt and pepper.,"Bacon may lose some flavor after being stored. If your bacon's taste seems off, add some salt and pepper to taste."
2312,Cook Chuck Steak,0,A,A1,Preheat the oven and season the steak.,Turn the oven on to 325 degrees F (162 C). Place 2 tablespoons of vegetable or canola oil in a large pot or Dutch oven. Heat the oil over medium heat and sprinkle the chuck steak with salt and pepper.   You could use a big skillet if your chuck steaks are thin.;
2313,Cook Chuck Steak,1,A,A2,Sear the chuck steak.,"Once the oil is hot and shimmering, add the seasoned steak to the Dutch oven. The steak will sizzle as soon as you add it to the pot. Let the steak cook on medium heat until it browns. Use tongs to turn the steak so that it browns on all sides. Use the tongs to take the steaks out of the pot once they're seared. Pour off and discard any fat from the pan.Wear oven mitts when searing the steak since the hot oil may sputter."
2314,Cook Chuck Steak,2,A,A3,Add a liquid.,"Pour in about 3/4 of a cup of liquid. This will keep the chuck steak moist as it cooks and will make it even more tender. Try using one of the following as braising liquids:Beef or vegetable broth Apple juice or cider Cranberry juice Tomato juice Dry wine mixed with broth Water 1 tablespoon of a liquid seasoning like barbecue sauce, Dijon mustard, soy sauce, steak sauce or Worcestershire sauce (You can add these to water to dilute them.)"
2315,Cook Chuck Steak,3,A,A4,Stir in dry seasonings.,"To add even more flavor to your braised chuck steak, stir in dried herbs of your choice. You'll need to stir in about 1 teaspoon of dried herbs or 1 tablespoon of fresh herbs. You can use herbs like:   Basil Herbes de Provence Italian seasoning Oregano Thyme"
2316,Cook Chuck Steak,4,A,A5,Braise the steak in the oven.,"Cover the Dutch oven with a heavy lid and place the steak in the oven. For 2 1/2 to 3 pounds of chuck steak, bake the steak for 1 hour and 15 minutes to 1 hour and 45 minutes. The chuck steak will be completely tender when it's finished braising and ready to serve. If you check the temperature, the steak should be between 145 degrees F (62 C) for medium-rare and 175 F (79 C) for well-done.To check tenderness, insert a fork or knife into the steak. If tender, the fork or knife should slide in easily."
2317,Cook Chuck Steak,5,B,B1,Turn on the broiler and season the steak.,"If your broiler is in the top part of the oven, move the oven rack about 4 inches away from the broiler element. If the broiler is in a sliding tray under the oven, you won't need to adjust the rack. Turn the broiler on while you salt and pepper both sides of your chuck steak.If you like, you can use any steak seasoning to flavor the chuck steak."
2318,Cook Chuck Steak,6,B,B2,Broil one side of the steak.,"Place the seasoned steak onto a baking sheet or skillet and place it below the broiler. Depending on the thickness of the steak, broil it for 7 to 9 minutes. If you'd like it on the medium or rare side, cook it closer to 6 or 7 minutes.Depending on the type of broiler you have, you may want to leave your oven door cracked so you can monitor the cooking."
2319,Cook Chuck Steak,7,B,B3,Turn and broil the other side of the steak.,"Use a sharp fork or kitchen tongs to carefully turn the chuck steak. Place the steak back under the broiler and let it cook for another 5 to 8 minutes, depending on thickness. Check the steak's temperature.If you want a medium-rare steak, remove it from the broiler at 145 degrees F (60 C). For a medium steak, let it cook to 160 degrees F (70 C)."
2320,Cook Chuck Steak,8,B,B4,Let the steak rest and serve it.,Remove the steak to a cutting board or serving plate. Place aluminum foil over the steak so it forms a tent and let the steak rest for about 5 minutes. This will help the muscle tissue in the steak redistribute the juice so it doesn't all run out when you begin cutting the steak.The steak should cool down about 5 degrees from the time you take it out from the broiler and after it's rested.
2321,Cook Chuck Steak,9,C,C1,Turn on the oven and season your steak.,"Preheat your oven to 400 degrees F (204 C). Season your steak with any kind of seasoning you like. If you want to keep it simple, just use coarse salt and pepper. Don't be afraid to coat both sides of your steak with the seasoning since this will give it flavor and help it brown. You should be able to see seasoning on the steak. You could also use:Cajun seasoning Chimichurri Teriyaki Montreal steak seasoning"
2322,Cook Chuck Steak,10,C,C2,Heat a skillet.,"Place a heavy bottomed skillet (preferably a cast iron skillet) over high heat. Add a few tablespoons of coconut oil, grapeseed oil, or vegetable oil in the pan to heat. You want the pan to get really hot so the steak sizzles immediately and begins to brown.   Coconut, grapeseed, and vegetable oils all have high-smoke points so they won't burn as your pan heats up. Avoid pan-frying a steak in butter or olive oil which will burn."
2323,Cook Chuck Steak,11,C,C3,Sear both sides of the steak.,"Place the steak in your hot oiled skillet and let it cook for 1 to 3 minutes. Carefully turn the steak and sear the other side for another 1 to 3 minutes. The steak should be a dark golden brown color on the sides. It will still be mostly raw inside, but you'll finish the steak in the oven for even cooking.   You can turn the steaks frequently while they're searing so they sear evenly and brown faster."
2324,Cook Chuck Steak,12,C,C4,Finish cooking the steak in the oven.,"Place the entire skillet with the seared steak into the preheated oven. Cook the steak for 6 to 8 minutes or until the steak reaches the level of doneness you'd like. If you check the temperature, the steak should be between 145 degrees F (62 C) for medium-rare and 175 F (79 C) for well-done. Transfer the steak to a plate and let it rest a few minutes before you serve it.Letting the steak rest helps the juices in the meat distribute evenly. Ensure your skillet is ovenproof before placing it the oven. Even if it says it's ovenproof, check to see if it can be used in a 400 degree F oven."
2325,Bake a Queen Elizabeth Cake,0,none,1,Preheat oven to 350 °F (177 °C).,
2326,Bake a Queen Elizabeth Cake,1,none,2,Spray an 8-inch baking pan with nonstick cooking spray.,
2327,Bake a Queen Elizabeth Cake,2,none,3,"Add dates, boiling water and baking soda to a mixing bowl.",Mix to combine and then let stand.
2328,Bake a Queen Elizabeth Cake,3,none,4,Add the butter and sugar to a mixing bowl.,Cream until light and fluffy.
2329,Bake a Queen Elizabeth Cake,4,none,5,Stir in the vanilla.,
2330,Bake a Queen Elizabeth Cake,5,none,6,"Sift flour, baking powder and salt in another bowl.",
2331,Bake a Queen Elizabeth Cake,6,none,7,Add the dry ingredients alternately with the date mixture to the butter mixture.,Do this in two batches.
2332,Bake a Queen Elizabeth Cake,7,none,8,"Fold in the chopped walnuts, if using.",
2333,Bake a Queen Elizabeth Cake,8,none,9,Bake cake 30 minutes.,
2334,Bake a Queen Elizabeth Cake,9,none,10,"Add the butter, brown sugar and cream to a saucepan.",Bring to a boil stirring constantly.
2335,Bake a Queen Elizabeth Cake,10,none,11,Add the coconut and stir to combine.,
2336,Bake a Queen Elizabeth Cake,11,none,12,Spread topping over cake.,
2337,Bake a Queen Elizabeth Cake,12,none,13,Broil topping until golden and bubbly.,Keep an eye on the cake so the topping does not burn.
2338,Bake a Queen Elizabeth Cake,13,none,14,Cut cake into squares.,
2339,Cook Liver and Onions,0,none,1,Put 2 tablespoons of butter or margarine in a large frying pan with the onions.,;
2340,Cook Liver and Onions,1,none,2,"Cook the onions on medium heat until they are golden and soft, about 5 minutes.",
2341,Cook Liver and Onions,2,none,3,Remove the onions from the pan with a slotted spatula and transfer them into a bowl.,
2343,Cook Liver and Onions,4,none,5,"Mix the flour, salt, and pepper in a large bowl or shallow pan.",
2344,Cook Liver and Onions,5,none,6,Lay each slice of liver in the flour mixture and turn it over to lightly but evenly coat each piece.,
2345,Cook Liver and Onions,6,none,7,Place the floured liver slices on a plate.,
2346,Cook Liver and Onions,7,none,8,Add the remaining butter or margarine to the frying pan and melt it over medium heat.,
2347,Cook Liver and Onions,8,none,9,Carefully add the liver slices to the pan and fry them until they become golden brown on each side.,Be careful not to overcrowd the pan with liver; you want each piece of liver to have full contact with the hot base of your pan.
2348,Cook Liver and Onions,9,none,10,Add the stock or broth to the pan and then place the cooked onions on top of the liver slices.,
2349,Cook Liver and Onions,10,none,11,Cover the pan and turn the heat down to medium-low so the liquid is just simmering.,
2350,Cook Liver and Onions,11,none,12,Cook the dish for 30 minutes or until the liver is done.,The liver is done when it is no longer pink or red in the center.
2351,Cook Mung Beans,0,A,A1,Sort the beans.,"Slowly pour the beans into a large bowl. As you pour, examine each bean carefully. Sometimes bags of dried beans can have small rocks and other inedible debris mixed in.Remove any suspicious looking beans as well. Old, wrinkled beans won’t soften well and may hurt your teeth.;"
2352,Cook Mung Beans,1,A,A2,Bring some water to a boil.,Place a large cooking pot on the stove over high heat. Add about three cups (.7 liters) of fresh water to the pot and let it come to a boil.   Always cook with cold tap water. Hot tap water can dissolve contaminants in pipe systems that will be carried into your food.
2353,Cook Mung Beans,2,A,A3,Add the dried beans.,"Add one cup (200 grams) of dried mung beans to the boiling water. Give the beans a good stir to help saturate them completely. Don’t worry if a few beans float on the top. As soon as these beans soak up enough water, they will sink to the bottom.   If want to cook more than one cup of beans, use more water. For every cup of beans, you should boil three cups of water. One cup of dried mung beans will yield three cups of cooked beans, or approximately three servings."
2354,Cook Mung Beans,3,A,A4,Simmer the beans for 30-40 minutes.,"After adding the beans, allow the water to return to a boil. Next, lower the heat to medium low. Let the soup simmer for 45 minutes to an hour or until the beans are soft.To check if the beans are ready, remove a small spoonful and allow it to cool before tasting it.   A simmering pot will release a few small streams of bubbles. If the surface of the liquid is bubbling too much, reduce the heat.Resist the urge to add salt until the beans are done cooking. If you add salt while the beans are still simmering, they may become tough."
2355,Cook Mung Beans,4,A,A5,Season the beans and serve.,"You can blend the soft beans to serve them as a hearty stew, drain them to create a healthy side dish, or add them to your favorite savory recipe. Mung beans can be seasoned with:   raw aromatics such as green onions and fresh herbs salt, pepper, and olive oil coconut milkA cilantro, coriander, cumin, and ginger spice blend"
2356,Cook Mung Beans,5,B,B1,Sort the beans into the slow cooker.,"Slowly pour the beans into the slow cooker, examining each bean carefully. If you find any rocks or unusually hard beans, remove them and throw them away. Otherwise, they may hurt your teeth while you’re eating.When in doubt, throw the bean away. For example, if you’re not sure if a bean is too old to eat or not, play it safe and discard it."
2357,Cook Mung Beans,6,B,B2,Add cooking liquid.,"For every cup (200 grams) of beans, you will need about three cups (.7 liters) of liquid. You can use fresh water, vegetable broth, or meat broth. However, make sure not to overfill the slow cooker.   Most slow cookers have a “fill” line on the inside. Otherwise, only fill the slow cooker halfway full."
2358,Cook Mung Beans,7,B,B3,Add seasonings to the slow cooker.,"Sprinkle in seasonings such as onion, garlic, or bay leaves. However, wait to add the salt until the beans are cooked to avoid tough beans.Other delicious seasonings include:   Butter Curry powder Shallots Ginger"
2359,Cook Mung Beans,8,B,B4,Cook the beans.,"Place the lid on your slow cooker and turn it on. You can use the “low” setting to cook the beans for 6.5 hours, creating a creamy, soup-like texture. Alternatively, cook the beans on “high” for 3 hours to create a thinner bean dish.After one hour, sample the beans periodically to check for doneness. The beans will be done when they’re soft and flavorful."
2360,Cook Mung Beans,9,B,B5,Season and serve.,"Salt and pepper the cooked beans to taste. After seasoning, serve the beans immediately. You can add extra cooking liquid to create a vegetable soup, on a bed of rice, or by themselves as a healthy side dish.   Leftover beans can be kept in the refrigerator for up to five days."
2361,Cook Mung Beans,10,C,C1,Pour the dry mung beans into a large bowl.,"Pour the beans very slowly, examining each bean. This will allow you to identify any rocks or other small debris that got caught in the beans.If a bean looks suspicious, play it safe and take it out."
2362,Cook Mung Beans,11,C,C2,Pour water over the beans.,"Measure out two or three cups (.5-.7 liters) of water for every cup (200 grams) of beans.Next, pour the water over the beans. Don’t worry about any beans that float to the top. They will sink as soon as they soak up enough water.   Cover the bowl with a lid or wrap it in plastic wrap to protect the beans from debris."
2363,Cook Mung Beans,12,C,C3,Soak the beans for twenty four hours.,"Store the bowl of mung beans in a cool, dark place for at least twenty four hours.This will allow the beans to soak up the water and begin to sprout. Choose a low-traffic location to avoid spilling your beans. Some great storage locations include:   The corner of a pantry Under your kitchen sink In an unused cabinet"
2364,Cook Mung Beans,13,C,C4,Drain the water and cover the beans.,"After twenty four hours, drain the water away from the beans. You can either dump the entire mixture in a colander or carefully tip the bowl over the sink. Next, cover the bowl with a piece of cheesecloth, gauze, or a thin dishtowel. This will protect the beans while allowing air flow. Return the beans to their cool, dark spot to continue sprouting. Cheesecloth can be bought at most gourmet grocery stores, cheese making depots, and online."
2365,Cook Mung Beans,14,C,C5,Examine the beans.,"After twenty four to forty eight hours have passed, examine the beans to see if they’re ready to eat. Sprouted beans will have a small white tail and a split bean body. If you prefer bean sprouts with longer tails, let the beans continue sprouting for a few more hours.Don’t let the beans sprout for more than a few days. Otherwise, the beans will become waterlogged and flavorless."
2366,Cook Mung Beans,15,C,C6,Serve the beans.,"First, rinse the sprouted beans under cold water to remove any unwanted debris or residue. Allow the beans to dry for a few minutes on a plate lined with a paper towel. Serve the beans immediately. Some excellent serving methods include:   Adding the beans to a salad Seasoning the beans with olive oil, salt, and pepper for a fresh side dishLining your sandwich with sprouts for a healthy crunch"
2368,Cook Mung Beans,17,D,D2,Add sprouted mung beans to any savory recipe.,Sprouted mung beans are incredibly versatile. They can be sprinkled on a salad for a crunchy health boost or sautéed in a stir fry. Some other fantastic ways to use freshly sprouted mung beans include:   Adding a layer of bean sprouts to your sandwiches Stirring mung bean sprouts into your favorite vegetable soup Garnishing your favorite Asian noodle dish
2369,Cook Mung Beans,18,D,D3,Make a mung bean curry.,"The hearty mung bean pairs deliciously with traditional curry flavors such as garam masala, coconut milk, ginger, and lime.Do an online search to find your new favorite mung bean curry recipe. Alternatively, stir some cooked mung beans into your favorite curry recipe to incorporate extra flavor and nutrition. Some excellent curries include:   An Indonesian curry such as Gulai Salai Ikan Khas Palembang   Palak Paneer, an Indian curry Slow-cooker Chicken Curry"
2370,Boil Crawfish,0,none,1,Buy live crawfish.,"Plan on ordering enough crawfish so that each person at your party or dinner gets 2 - 3 pounds. Most of the weight will get discarded since crawfish come with their shells on.   Source the crawfish from seafood and grocery stores or crawfish trucks, which sell crawfish when it's in season. If you don't have a source of crawfish in your area, purchase it online from a vendor such as Louisiana Crawfish co., which will ship the crawfish to you live. When you take home your crawfish or receive your shipment make sure you keep them cool, away from light and heat, so they're fresh when it's time to cook them. Boiled crawfish that have been frozen do not taste nearly as good as live boiled crawfish.;"
2371,Boil Crawfish,1,none,2,Wash the crawfish.,"Since live crawfish are freshly harvested, it's necessary to wash of the silt and debris they have collected before you cook them. Clean your crawfish by taking the following steps:   Wash off the sack. If you bought a sack of crawfish, begin with washing it off so the dirt from the outside of the sack doesn't make its way inside. Empty the sack of crawfish into a large bin, such as a kiddie pool or storage bin, and fill it with clean water. Use a paddle to stir the crawfish, then let them sit in the water for 30 minutes. Discard the dead crawfish, which will float to the top after a few minutes. Strain the water and rinse the crawfish with clean water. Keep them in a shady spot until you're ready to boil them."
2372,Boil Crawfish,2,none,3,Light the outdoor cooking flame.,"Use an outdoor gas burner, a patio stove, or a propane cooker to make the boil. The important thing is to have equipment sturdy enough to heat up a 60 gallon (227.1 L) pot of water."
2373,Boil Crawfish,3,none,4,Fill a 60 gallon (227.1 L) pot halfway with water.,"Put it on the burner or stove and let it heat to a boil. Stir in the following ingredients, then let it come back to a boil:   The juice of 8 lemons, and the lemon peels. 1 pound of crawfish boil seasoning."
2374,Boil Crawfish,4,none,5,Add the vegetables.,"Crawfish boils are delicious with many kind of vegetables, but the most popular staples are potatoes and corn. Once the pot has come back to a rolling boil, add the following ingredients:   8 onions, peeled and halved 10 pounds of new potatoes (or regular potatoes, chopped into bite-sized chunks) 20 ears of corn, shucked and halved 40 cloves of garlic, peeled"
2375,Boil Crawfish,5,none,6,Lower the crawfish into the boil.,"Place the crawfish in a crawfish basket, made out of wire with a handle for lowering it into the pot. Crawfish baskets are used so that the crawfish can boil in the top part of the water while the vegetables cook underneath. Let the crawfish boil in the water for 5 minutes.   If you have a large strainer that fits over the top of the pot, this can be used as a substitute for the crawfish basket. Crawfish baskets are available online or at stores that sell barbecue equipment."
2376,Boil Crawfish,6,none,7,Turn off the heat and let the crawfish cook.,"Once the crawfish are inside the pot, turn off the heat and put the lid on top to allow the crawfish to cook gently for another 30 minutes."
2377,Boil Crawfish,7,none,8,Check the crawfish.,"After 30 minutes, remove the lid and check to see if the crawfish are done. The best way to tell is by removing a crawfish and eating it.   If the texture is rubbery, the crawfish need more time to cook.If they're on the verge of falling apart, remove the crawfish from the pot immediately, as they're in danger of overcooking."
2378,Boil Crawfish,8,none,9,Line picnic tables with newspapers.,"Crawfish boils can get messy, so for easy cleanup it's best to use plenty of newspaper. Line picnic tables and other outdoor tables, and set out plenty of napkins and paper towels. You might want to set out bowls for the crawfish shells and legs."
2379,Boil Crawfish,9,none,10,Serve the boil.,"At traditional boils, the vegetables are dumped directly onto the table, and the crawfish are added to the top. If you'd prefer not to do it this way, have guests line up at the pot with paper plates and scoop the vegetables directly from the pot to the plates."
2380,Boil Crawfish,10,none,11,Add condiments.,"Butter, salt, and additional Cajun seasoning are all great condiments for a crawfish boil."
2381,Cook Broccolini,0,A,A1,Bring a large stockpot of water to boil.,Fill the stockpot roughly two-thirds full with water and heat the water on the stove over high heat.
2382,Cook Broccolini,1,A,A2,Add salt.,"Sprinkle roughly 1 Tbsp (15 ml) of salt into the stockpot for every 4 qt (4 L) of water. Let boil for another minute or two so that the salt can dissolve.  By adding the salt after the water reaches a boil, you cut down on the total amount of time it takes the water to reach a boil. Salt water boils more slowly than regular water."
2383,Cook Broccolini,2,A,A3,Cook the broccolini for a few minutes.,"Add the broccolini and cook for 2.5 to 5 minutes, depending on how tender you want the broccolini to be.Drain immediately by pouring the contents of the stockpot through a colander. If you allow the broccolini to stay in the hot water longer, it will continue to cook and may get mushy. Cook for 2.5 minutes if you want the broccolini to be tender-crisp. If you want it to be a little softer without a crisp bite, cook for a full 5 minutes."
2384,Cook Broccolini,3,A,A4,"Drizzle with oil, lemon juice, and seasonings before serving.","Return the broccolini to the stockpot and add the olive oil, lemon juice, pepper, and garlic powder. Toss with tongs or a spatula and serve while still warm."
2385,Cook Broccolini,4,B,B1,Bring a stockpot of salted water to a boil.,Fill a stockpot roughly two-thirds full with water and add a generous amount of salt. Heat on the stove over high heat.  Use roughly 1 Tbsp (15 ml) of salt for every 4 qt (4 L) of water.
2386,Cook Broccolini,5,B,B2,Briefly blanch the broccolini.,"Add the broccolini to the boiling water and cook for no longer than 2 minutes.  Drain immediately when done. Pour the broccolini through a colander or remove it from the stockpot with tongs. If you drag your feet on this step and let the vegetable stay in the hot water for too long, it will continue to cook and may become too tender or mushy."
2387,Cook Broccolini,6,B,B3,Dunk in a bowl of ice water.,"Transfer the broccolini to a large bowl filled with ice cold water to stop the cooking process.  Leave the broccolini in the ice water for about 2 minutes. As a general rule, blanched vegetables should be left in ice water for as long as they were left in boiling water in order to put a full stop to the cooking process."
2388,Cook Broccolini,7,B,B4,Pour the oil into a large skillet.,"As the broccolini sits in the ice water, heat the skillet of oil over medium-high heat for a couple of minutes, or until the oil becomes thinner and easier to coat over the pan."
2389,Cook Broccolini,8,B,B5,Add the broccolini.,"Transfer the broccolini from the ice water and directly into the hot oil in the skillet. Cook for 2 minutes, or until warm and beginning to caramelize on the tips.Do not be alarmed if the broccolini sizzles once you place it in the pan. The violent sizzle results when water clinging to the vegetable touches the hot oil. If you want to minimize this reaction, quickly drain the wet broccolini on paper towels before placing it in the skillet."
2390,Cook Broccolini,9,B,B6,Sprinkle with lemon juice and seasonings before serving.,"Transfer the broccolini to a serving platter and drizzle with lemon juice. Sprinkle with pepper, garlic powder, and additional salt, if desired, and enjoy."
2393,Cook Broccolini,12,C,C3,"Toss with oil, lemon juice, and seasonings before serving.","Transfer the broccolini to a serving platter and add olive oil. You can also sprinkle with lemon juice, salt, pepper, and garlic powder, if desired. Toss with tongs to coat well and enjoy."
2395,Cook Broccolini,14,D,D2,Arrange the broccolini on the prepared baking sheet.,"Keep the pieces in a single layer.  By arranging the broccolini in one layer, you ensure that the individual pieces cook as evenly as possible."
